a52dec 0.7.4-6
aalib 1.4rc5-9
abs 2.4.3-2
accountsservice 0.6.15-1
acl 2.2.51-1
acpi 1.6-1
acpid 2.0.16-1
adesklet-asimpleclock 0.0.3-8
adesklets 0.6.1-12
aiksaurus 1.2.1-3
alsa-lib 1.0.25-1
alsa-plugins 1.0.25-1
alsa-utils 1.0.25-2
amarok 2.5.0-2
anthy 9100h-3
apache 2.2.22-3
apache-ant 1.8.3-1
apr 1.4.5-2
apr-util 1.4.1-1
archlinux-menus 2.5-1
aria2 1.15.0-1
arj 3.10.22-7
art-sharp 2.24.2-2
asio 1.4.8-2
aspell 0.60.6.1-1
aspell-en 7.1-2
at-spi 1.32.0-5
at-spi2-atk 2.2.2-1
at-spi2-core 2.2.3-1
atk 2.2.0-1
atkmm 2.22.6-1
attica 0.3.0-1
attr 2.4.46-1
audiofile 0.3.3-1
autoconf 2.68-2
autofs 5.0.6-3
automake 1.11.4-1
avahi 0.6.31-2
axel 2.4-3
b43-fwcutter 015-1
babl 0.1.6-1
bash 4.2.024-2
bc 1.06-8
bcm43xx-fwcutter 006-2
beanshell 2.0b4-2
bigreqsproto 1.1.2-1
bin86 0.16.18-3
binutils 2.22-5
bison 2.5-3
blas 3.4.0-1
blueman 1.23-3
bluez 4.99-2
boost 1.49.0-1.1
boost-libs 1.49.0-1.1
bridge-utils 1.5-1
broadcom-wl 5.100.82.38-4
bug-buddy 2.32.0-1
bzip2 1.0.6-3
bzr 2.5.0-1
c-ares 1.7.5-1
ca-certificates 20120212-1
ca-certificates-java 20120225-1
cabextract 1.4-2
cairo 1.10.2-3
cairo-perl 1.081-1
cairomm 1.10.0-2
cantarell-fonts 0.0.7-1
capseo 1:0.3-2
caribou 0.4.1-1
ccsm 0.8.4-3
cdparanoia 10.2-4
cdrkit 1.1.11-2
cfitsio 3.290-1
cheese 3.2.2-1
chmlib 0.40-3
chromium 18.0.1025.162-1
cifs-utils 5.3-2
cloog 0.17.0-1
cloog-ppl 0.15.10-2
clucene 2.3.3.4-3
clutter 1.8.4-1
clutter-gst 1.4.6-1
clutter-gtk 1.0.4-1
clutter-gtk2 0.10.8-2
cmake 2.8.7-2
codecs 20071007-1
cogl 1.8.2-1
colord 0.1.17-1
commoncpp2 1.8.1-3
compiz-bcop 0.8.8-2
compiz-core 0.8.8-3
compiz-fusion-plugins-extra 0.8.8-2
compiz-fusion-plugins-main 0.8.8-2
compiz-manager 0.6.0-5
compizconfig-backend-gconf 0.8.8-2
compizconfig-backend-kconfig 0.8.4-1
compizconfig-python 0.8.4-4
compositeproto 0.4.2-2
conky 1.8.2git20111107-2
consolekit 0.4.6-2
convertlit 1.8-6
coreutils 8.16-2
cpio 2.11-3
cpufrequtils 008-2
cracklib 2.8.18-2
cryptsetup 1.4.1-1
csup 20060318-5
ctags 5.8-3
cups 1.5.2-1
cups-pk-helper 0.2.1-1
curl 7.25.0-1
cyrus-sasl 2.1.23-9
cyrus-sasl-gssapi 2.1.23-9
cyrus-sasl-ldap 2.1.23-9
cyrus-sasl-sql 2.1.23-9
damageproto 1.2.1-2
dar 2.4.2-1
dash 0.5.7-2
db 5.3.15-1
db4.1 4.1.25-3
db4.5 4.5.20-2
dbh 1.0.24-3
dbus 1.4.20-1
dbus-core 1.4.20-2
dbus-glib 0.98-1
dbus-python 1.0.0-1
dbus-qt3 0.62-4
dbus-sharp 0.7.0-4
dbus-sharp-glib 0.5.0-4
dconf 0.10.0-1
dcron 4.5-2
ddcxinfo-arch 0.8-2
decibel 0.5.0-1
desktop-file-utils 0.19-1
device-mapper 2.02.95-1
dhclient 4.2.3.2-2
dhcpcd 5.5.6-1
dialog 1.1_20120215-1
diffutils 3.2-1
dirmngr 1.1.0-4
djvulibre 3.5.24-3
dmapi 2.2.10-3
dmraid 1.0.0.rc16.3-2
dmxproto 2.3.1-2
dnsutils 9.9.0-1
docbook-xml 4.5-5
docbook-xsl 1.76.1-2
dosfstools 3.0.12-1
dri2proto 2.6-1
drupal 7.12-1
dvd+rw-tools 7.1-4
dvdrip 0.98.11-10
e2fsprogs 1.42.1-1
easystroke 0.5.4-3
ebook-tools 0.2.1-4
eclipse-ecj 3.7.1-1
ed 1.6-1
eggdbus 0.6-1
eject 2.1.5-7
elfutils 0.152-2
emerald 0.8.8-2
emerald-themes 0.6.0-4
enca 1.13-2
enchant 1.6.0-4
epdfview 0.1.8-3
esound 0.2.41-2
eventlog 0.2.12-3
evince 3.2.1-3
evolution-data-server 3.2.3-2
exaile 0.3.2.2-3
exempi 2.2.0-1
exiv2 0.22-1
exo 0.6.2-3
expat 2.1.0-1
faac 1.28-3
faad2 2.7-3
fakeroot 1.18.2-1
farsight2 0.0.31-1
ffmpeg 20120317-1
ffmpegthumbnailer 2.0.7-3
fftw 3.3.1-1
file 5.11-1
filesystem 2012.2-4
findutils 4.4.2-4
firefox 11.0-3
firefox-i18n-hi-in 11.0-1
firefox-i18n-kn 11.0-1
fixesproto 5.0-2
flac 1.2.1-3
flashplugin 11.2.202.233-1
flex 2.5.35-5
fltk 1.3.0-3
fluidsynth 1.1.5-2
folks 0.6.6-1
font-bh-ttf 1.0.1-2
font-bitstream-speedo 1.0.1-2
fontcacheproto 0.1.3-1
fontconfig 2.8.0-2
fontsproto 2.1.2-1
freeglut 2.8.0-1
freetype1 1.3.1-4
freetype2 2.4.9-2
fribidi 0.19.2-2
fuse 2.8.7-1
fusion-icon 20120321-1
gamin 0.1.10-6
garcon 0.1.12-1
gawk 4.0.1-1
gcalctool 6.2.0-1
gcc 4.7.0-4
gcc-gcj 4.3.3-1
gcc-libs 4.7.0-4
gcc3 3.3.6-4
gconf 3.2.3-1
gconf-editor 3.0.0-2
gconf-sharp 2.24.2-2
gconf-sharp-peditors 2.24.2-2
gconfmm 2.28.3-1
gd 2.0.36RC1-5
gdbm 1.10-1
gdeskcal 1.01-3
gdk-pixbuf2 2.24.1-3
gdl 3.2.0-1
gdm 3.2.1.1-1
gdome2 0.8.1-4
gedit 3.2.6-1
gegl 0.1.8-2
gen-init-cpio 2.6.36-1
gettext 0.18.1.1-4
ggz-client-libs 0.0.14.1-3
ghostscript 9.05-1
giflib 4.1.6-5
gimp 2.6.12-1
gimp-help-2 2.4.2-1
git 1.7.10-1
gjs 1.30.1-1
gksu 2.0.2-4
glew 1.7.0-2
glib 1.2.10-9
glib-networking 2.30.2-1
glib-perl 1.241-1
glib2 2.30.2-2
glibc 2.15-10
glibmm 2.30.1-1
glproto 1.4.15-1
gmetadom 0.2.6-3
gmime 2.6.7-1
gmp 5.0.4-1
gnochm 0.9.11-11
gnokii 0.6.31-1
gnome-applets 3.2.1-1
gnome-backgrounds 3.2.0-1
gnome-bluetooth 3.2.2-1
gnome-common 2.34.0-2
gnome-control-center 3.2.2-1
gnome-desktop 1:3.2.1-1
gnome-desktop-sharp 2.26.0-8
gnome-desktop2 2.32.1-2
gnome-disk-utility 3.0.2-2
gnome-doc-utils 0.20.10-1
gnome-icon-theme 3.2.1.2-1
gnome-icon-theme-extras 3.0.0-2
gnome-icon-theme-symbolic 3.2.2-1
gnome-keyring 3.2.2-3
gnome-mag 0.16.3-1
gnome-media 2.91.2-3
gnome-menus 3.2.0.1-1
gnome-mime-data 2.18.0-6
gnome-netstatus 2.28.2-1
gnome-nettool 3.0.1-1
gnome-online-accounts 3.2.1-1
gnome-panel 3.2.1-1
gnome-power-manager 3.2.1-1
gnome-ppp 0.3.23-8
gnome-print-sharp 2.26.0-7
gnome-python 2.28.1-8
gnome-python-extras 2.25.3-12
gnome-screensaver 3.2.0-1
gnome-session 3.2.1-1
gnome-settings-daemon 3.2.2-1
gnome-sharp 2.24.2-2
gnome-shell 3.2.2.1-1
gnome-spell 1.0.8-2
gnome-system-monitor 3.2.1-1
gnome-terminal 3.2.1-1
gnome-themes-extras 2.22.0-3
gnome-themes-standard 3.2.1-1
gnome-tweak-tool 3.2.2-2
gnome-user-docs 3.2.2-1
gnome-utils 3.2.1-1
gnome-vfs 2.24.4-6
gnome-vfs-sharp 2.24.2-2
gnome-video-effects 0.3.0-2
gnupg 2.0.19-1
gnutls 3.0.18-1
gobject-introspection 1.30.0-1
